id,content,chat_type,secondary_emotions,is_multilabel,label_set,conversation_id
msg_00479,"Honestly, i did what I normally do.",neutral,,False,neutral,conv_00001
msg_00082,I had a surprisingly wonderful day.,happy,,False,happy,conv_00001
msg_00078,I am glad I let myself enjoy today.,happy,,False,happy,conv_00001
msg_00209,I feel disrespected and frustrated.,angry,,False,angry,conv_00001
msg_00320,I am nervous about being judged.,anxious,,False,anxious,conv_00002
msg_00327,I keep thinking about possible problems.,anxious,,False,anxious,conv_00002
msg_00249,I feel angry whenever I remember what they said.,angry,,False,angry,conv_00002
msg_00325,I am afraid something will go wrong.,anxious,,False,anxious,conv_00002
msg_00621,"I felt lonely today, but a friend's message gave me a small reason to smile. I could feel both reactions at once.",sad,happy,True,"sad,happy",conv_00003
msg_00121,I wanted to stay in bed because I felt so low.,sad,,False,sad,conv_00003
msg_00159,I am feeling like crying whenever I think about it.,sad,,False,sad,conv_00003
msg_00166,I am feeling empty when the day gets quiet.,sad,,False,sad,conv_00003
msg_00397,"Today, i am feeling on edge tonight.",anxious,,False,anxious,conv_00004
msg_00278,"Lately, i am feeling disrespected and frustrated.",angry,,False,angry,conv_00004
msg_00232,I feel provoked and upset.,angry,,False,angry,conv_00004
msg_00119,I miss how life used to feel.,sad,,False,sad,conv_00004
msg_00134,I feel a quiet ache that will not go away.,sad,,False,sad,conv_00005
msg_00580,"Lately, right now I am having suicidal thoughts again.",suicidal,,False,suicidal,conv_00005
msg_00200,I am tired of carrying this sadness alone.,sad,,False,sad,conv_00005
msg_00132,I have been missing my old life.,sad,,False,sad,conv_00005
msg_00055,I am feeling encouraged by my progress.,happy,,False,happy,conv_00006
msg_00673,"I am still annoyed about the argument, although I was happy about how the rest of the day went. The two feelings seemed to sit together rather than replace each other.",angry,happy,True,"angry,happy",conv_00006
msg_00605,"I had a wonderful time with my friends, but I still missed someone who could not be there. By the evening, I was still carrying both emotions.",happy,sad,True,"happy,sad",conv_00006
msg_00357,"Honestly, i have a knot in my stomach.",anxious,,False,anxious,conv_00006
msg_00098,I feel hopeful because things are improving.,happy,,False,happy,conv_00007
msg_00228,Right now I am frustrated beyond words.,angry,,False,angry,conv_00007
msg_00426,I had a fairly standard day.,neutral,,False,neutral,conv_00007
msg_00079,Right now I am glad I let myself enjoy today.,happy,,False,happy,conv_00007
msg_00255,"Honestly, right now I am really angry about what happened.",angry,,False,angry,conv_00008
msg_00110,I keep thinking about what I lost.,sad,,False,sad,conv_00008
msg_00064,Right now I am celebrating a small win tonight.,happy,,False,happy,conv_00008
msg_00410,The day was neither especially good nor bad.,neutral,,False,neutral,conv_00008
msg_00471,"Today, it was an uneventful day.",neutral,,False,neutral,conv_00009
msg_00514,I am afraid I might hurt myself.,suicidal,,False,suicidal,conv_00009
msg_00610,"I am thrilled about the opportunity, although I keep worrying that I might mess it up. By the evening, I was still carrying both emotions.",happy,anxious,True,"happy,anxious",conv_00009
msg_00356,"Lately, i have a knot in my stomach.",anxious,,False,anxious,conv_00009
msg_00341,I am nervous waiting for their reply.,anxious,,False,anxious,conv_00010
msg_00197,I have been thinking about the past all day.,sad,,False,sad,conv_00010
msg_00675,"I am still annoyed about the argument, although I was happy about how the rest of the day went. By the evening, I was still carrying both emotions.",angry,happy,True,"angry,happy",conv_00010
msg_00183,I keep remembering better days.,sad,,False,sad,conv_00010
msg_00175,I feel emotionally fragile today.,sad,,False,sad,conv_00011
msg_00592,"Lately, i keep thinking about ending everything.",suicidal,,False,suicidal,conv_00011
msg_00496,"Lately, most of today was routine.",neutral,,False,neutral,conv_00011
msg_00370,"Today, i feel tense and restless.",anxious,,False,anxious,conv_00011
msg_00193,Right now I am struggling to let go of what happened.,sad,,False,sad,conv_00012
msg_00319,I keep expecting bad news.,anxious,,False,anxious,conv_00012
msg_00693,"My day followed the usual routine, but I kept worrying about tomorrow. The two feelings seemed to sit together rather than replace each other.",neutral,anxious,True,"neutral,anxious",conv_00012
msg_00251,"Lately, i am really angry about what happened.",angry,,False,angry,conv_00012
msg_00538,I cannot stop thinking about suicide.,suicidal,,False,suicidal,conv_00013
msg_00011,I am feeling grateful for how well today turned out.,happy,,False,happy,conv_00013
msg_00648,"I am excited about tomorrow, but my mind keeps worrying about everything that could go wrong. The two feelings seemed to sit together rather than replace each other.",anxious,happy,True,"anxious,happy",conv_00013
msg_00235,Right now I am tired of being treated like this.,angry,,False,angry,conv_00013
msg_00432,"Today, today was pretty ordinary.",neutral,,False,neutral,conv_00014
msg_00512,I am having suicidal thoughts again.,suicidal,,False,suicidal,conv_00014
msg_00330,I am anxious about the result.,anxious,,False,anxious,conv_00014
msg_00085,I felt appreciated and understood today.,happy,,False,happy,conv_00014
msg_00433,"Lately, i went through my usual routine.",neutral,,False,neutral,conv_00015
msg_00584,"Honestly, i am afraid I might hurt myself.",suicidal,,False,suicidal,conv_00015
msg_00656,"Everything is normal on the surface, but I cannot stop feeling nervous about tomorrow. I could feel both reactions at once.",anxious,neutral,True,"anxious,neutral",conv_00015
msg_00642,"I was already nervous about the meeting, and the delay made me really irritated. It was difficult to describe the mood with one word.",anxious,angry,True,"anxious,angry",conv_00015
msg_00602,"I had a wonderful time with my friends, but I still missed someone who could not be there. It was difficult to describe the mood with one word.",happy,sad,True,"happy,sad",conv_00016
msg_00295,"Today, i am irritated by everything right now.",angry,,False,angry,conv_00016
msg_00363,"Honestly, i cannot seem to relax.",anxious,,False,anxious,conv_00016
msg_00611,"I am happy about the result, but I am still annoyed by how I was treated. I could feel both reactions at once.",happy,angry,True,"happy,angry",conv_00016
msg_00307,I cannot seem to relax.,anxious,,False,anxious,conv_00017
msg_00260,"Lately, i feel furious after that conversation.",angry,,False,angry,conv_00017
msg_00661,"I am furious about what happened, but I am also worried about what will happen next. I could feel both reactions at once.",angry,anxious,True,"angry,anxious",conv_00017
msg_00522,I am thinking about dying more than usual.,suicidal,,False,suicidal,conv_00017
msg_00637,"Nothing dramatic happened today, but I still felt unusually low. It was difficult to describe the mood with one word.",sad,neutral,True,"sad,neutral",conv_00018
msg_00087,I ended the day smiling.,happy,,False,happy,conv_00018
msg_00073,Right now I am enjoying being around people again.,happy,,False,happy,conv_00018
msg_00032,I feel genuinely appreciated today.,happy,,False,happy,conv_00018
msg_00292,"Today, i wanted to yell when I heard that.",angry,,False,angry,conv_00019
msg_00429,I caught up on some ordinary tasks.,neutral,,False,neutral,conv_00019
msg_00345,"Honestly, i cannot stop worrying about tomorrow.",anxious,,False,anxious,conv_00019
msg_00381,"Honestly, i keep second-guessing myself.",anxious,,False,anxious,conv_00019
msg_00146,I am feeling worn down by sadness.,sad,,False,sad,conv_00020
msg_00221,I cannot let go of how unfair that was.,angry,,False,angry,conv_00020
msg_00056,That conversation lifted my spirits.,happy,,False,happy,conv_00020
msg_00669,"I am angry that they treated me this way, but underneath that anger I mostly feel hurt. I noticed the second feeling more once I had calmed down.",angry,sad,True,"angry,sad",conv_00020
msg_00328,I feel overwhelmed by uncertainty.,anxious,,False,anxious,conv_00021
