id,content,emotion,createdAt,userId,secondary_emotions
1,"I've been carrying a sad feeling lately, and it was especially noticeable today.",sadness,2026-01-21,1,
2,"I was restless all evening and frustrated that I could not make myself relax. By evening, the two feelings were hard to separate.",anxiety,2026-01-19,1,neutral
3,"I was looking forward to the weekend, but my mind kept returning to unfinished work. By evening, the two feelings were hard to separate.",anxiety,2026-02-09,1,sadness
4,"I spent most of the day working and felt steady, with a little anxiety about tomorrow. I could not decide which feeling mattered more.",neutral,2026-02-20,1,sadness
5,"I was happy that the problem was finally addressed, but I still had some resentment about it. By evening, the two feelings were hard to separate.",Anger,2026-02-25,1,neutral
6,"I had a productive day, yet I spent too much of it worrying about whether I had done enough. I wrote it down because the combination felt important.",anxiety,2026-03-01,1,sadness
7,I felt hurt by something that happened and spent a while sitting with the sadness. I'm hoping the mood lifts with some rest.,sadness,2026-03-02,1,
8,I had fun today and still found myself thinking about someone I miss. It stayed in the back of my mind afterward.,Joy,2026-02-27,1,sadness
9,"I've been feeling low and lonely lately, and today was difficult emotionally. I could use a little time to process it.",sadness,2026-03-06,1,
10,An upsetting situation stayed on my mind and left me feeling hurt. I think I needed to acknowledge the feeling instead of pushing it away.,sadness,2026-03-08,1,
11,"I've been missing people lately, and that sense of loneliness caught up with me today. I could use a little time to process it.",sadness,2026-03-07,1,
12,"Nothing dramatic happened today, but I still felt unusually down. I'm hoping the mood lifts with some rest.",sadness,2026-03-09,1,
13,"I was looking forward to the weekend, but my mind kept returning to unfinished work. I wrote it down because the combination felt important.",anxiety,2026-03-10,1,Anger
14,A small kindness made me smile after a morning that had left me frustrated. I could not decide which feeling mattered more.,Joy,2026-03-18,1,sadness
15,A painful thought kept returning throughout the day and brought my mood down. I'm hoping the mood lifts with some rest.,sadness,2026-01-17,2,
16,"Today my mood felt heavy, and I struggled to find the motivation to do much. Writing about it felt easier than keeping it in my head.",sadness,2026-01-17,2,
17,I wrote down some thoughts today because I was having a harder time than usual.,sadness,2026-01-25,2,
18,"I kept checking my phone because I was anxious, then got angry at myself for checking it again. It stayed in the back of my mind afterward.",anxiety,2026-01-28,2,neutral
19,"I felt cheerful after receiving good news, but I was still annoyed by the way someone reacted to it.",Joy,2026-02-04,2,neutral
20,I was restless all evening and frustrated that I could not make myself relax. I noticed the contradiction more than I expected.,anxiety,2026-02-11,2,sadness
21,"I spent the afternoon as usual and felt calm, with a little excitement about the weekend. By evening, the two feelings were hard to separate.",neutral,2026-02-10,2,sadness
22,I wrote down some thoughts today because I was having a harder time than usual. Writing about it felt easier than keeping it in my head.,sadness,2026-02-26,2,
23,"Today gave me hope, even though I am still angry about what happened last week. I wrote it down because the combination felt important.",Joy,2026-02-27,2,Anger
24,I found myself feeling tearful after thinking about what happened. I could use a little time to process it.,sadness,2026-03-03,2,
25,"I've been feeling low and lonely lately, and today was difficult emotionally.",sadness,2026-03-02,2,
26,"I was looking forward to the weekend, but my mind kept returning to unfinished work. It stayed in the back of my mind afterward.",anxiety,2026-03-03,2,Anger
27,I was nervous before the meeting and ended up feeling irritated when it started late. I wrote it down because the combination felt important.,anxiety,2026-03-09,2,neutral
28,"I could not stop overthinking, although I was also looking forward to seeing everyone. It stayed in the back of my mind afterward.",anxiety,2026-01-15,3,Joy
29,I found myself feeling tearful after thinking about what happened. I think I needed to acknowledge the feeling instead of pushing it away.,sadness,2026-01-09,3,
30,"I was nervous before the meeting and ended up feeling irritated when it started late. By evening, the two feelings were hard to separate.",anxiety,2026-01-19,3,Anger
31,I felt hopeful about the decision while also imagining every possible bad outcome. It stayed in the back of my mind afterward.,anxiety,2026-01-23,3,sadness
32,"I knew the situation was probably fine, but my body still felt tense. It stayed in the back of my mind afterward.",anxiety,2026-01-29,3,sadness
33,I was excited about what is ahead and scared of disappointing myself at the same time.,Joy,2026-01-26,3,neutral
34,I felt lonely even when I wasn't physically alone. I could use a little time to process it.,sadness,2026-01-29,3,
35,"I kept worrying about tomorrow, even while part of me was excited about what might happen.",anxiety,2026-01-23,3,Joy
36,"I felt appreciated today, and that made some of the loneliness easier to carry. I wrote it down because the combination felt important.",Joy,2026-02-06,3,Anger
37,A painful thought kept returning throughout the day and brought my mood down. I think I needed to acknowledge the feeling instead of pushing it away.,sadness,2026-02-09,3,
38,I felt tense after the argument and could not tell whether I was more worried or angry. I noticed the contradiction more than I expected.,anxiety,2026-02-10,3,sadness
39,"Nothing dramatic happened today, but I still felt unusually down. I think I needed to acknowledge the feeling instead of pushing it away.",sadness,2026-02-12,3,
40,"I was genuinely excited today, but I kept overthinking whether I deserved the good outcome. I could not decide which feeling mattered more.",Joy,2026-02-15,3,neutral
41,"Nothing dramatic happened today, but I still felt unusually down. I think I needed to acknowledge the feeling instead of pushing it away.",sadness,2026-02-16,3,
42,I felt unsettled by the uncertainty and impatient with everyone who kept telling me not to worry. It stayed in the back of my mind afterward.,anxiety,2026-02-13,3,neutral
43,"I kept worrying about tomorrow, even while part of me was excited about what might happen. I could not decide which feeling mattered more.",anxiety,2026-02-26,3,Joy
44,I was disappointed by the outcome and turned that disappointment into frustration. It stayed in the back of my mind afterward.,Anger,2026-02-25,3,sadness
45,"Today gave me hope, even though I am still angry about what happened last week. I noticed the contradiction more than I expected.",Joy,2026-03-04,3,neutral
46,"I was upset enough to need space, but part of me still wanted someone to check on me.",Anger,2026-03-07,3,Joy
